Givenname,Surname,Streetaddress,City,Zipcode,Country,CountryCode,NationalId,TelephoneCountryCode,Telephone,Birthday,ConsentToContact
Markus,Johansen,Christensenstubben 9,Dagborg,4556,Norge,NO,19850312-1339,+47,+4796658444,1985-03-12,True
Allan,Johansson,Björkgatan 52,Borlänge,70331,Sverige,SE,19560916-6573,+46,+46 (0)79 02 37 80,1956-09-16,True
Malin,Jonsson,Kyrkogatan 8,Trelleborg,17562,Sverige,SE,19960807-4571,+46,+46 (0)788 745 02,1996-08-07,True
Anna,Andersson,Ringvägen 56,Östersund,16737,Sverige,SE,19870421-5465,+46,048-05 94 34,1987-04-21,True
Linnéa,Strandberg,Björktorget 310,Göteborg,34824,Sverige,SE,19591110-8804,+46,08-19 76 85,1959-11-10,True
Asbjørn,Haug,Alilia 608,Johnsen,6342,Norge,NO,19910615-1109,+47,45161836,1991-06-15,True
Tage,Karlsson,Ringgränd 481,Motala,38617,Sverige,SE,19860724-5011,+46,+46 (0)8 718 525 21,1986-07-24,True
Steven,Cowan,Carter Road 37118,West Nathanton,68264,Danmark,DK,19750910-0745,+45,(558)771-8851x9935,1975-09-10,True
Matilda,Paulsson,Skolgatan 955,Göteborg,70687,Sverige,SE,19950924-2865,+46,0560-672 61,1995-09-24,True
Frode,Amundsen,Jensenrøa 5,Pettersen,1783,Norge,NO,19890313-1304,+47,48612302,1989-03-13,True
Kenneth,Clark,Justin Stream 3988,Port Allen,74151,Danmark,DK,19730408-9765,+45,938-984-0846,1973-04-08,True
Gunnar,Kristoffersen,Olsenvollen 2C,Tveit,1601,Norge,NO,19880813-0535,+47,+4727256951,1988-08-13,True
Cecilie,Hanssen,Viksvingen 15E,Pettervik,7300,Norge,NO,19991215-1066,+47,97172991,1999-12-15,True
Martin,Lindberg,Parktorget 279,Södertälje,82330,Sverige,SE,19440208-8389,+46,080-779 73 06,1944-02-08,True
Tellervo,Saari,Ilomäenkuja 8,Huittinen,53447,Finland,FI,19650228-113C,+358,+358244628604,1965-02-28,True
Karin,Johansson,Järnvägsgränd 4,Eskilstuna,97566,Sverige,SE,19560613-0115,+46,+46 (0)8 233 633 71,1956-06-13,True
Nora,Birkeland,Myhrevika 5,Tangen,4622,Norge,NO,19651229-6883,+47,44482827,1965-12-29,True
Tony,Andersson,Stortorget 66,Piteå,71811,Sverige,SE,19740824-0969,+46,08-904 723 67,1974-08-24,True
Synnøve,Nygård,Pedersengropa 7,Joakimsand,9829,Norge,NO,19800905-1466,+47,27 03 81 05,1980-09-05,True
Ashley,Adams,Ashley Manor 69434,Deborahchester,80954,Danmark,DK,19881220-0032,+45,690-821-1908x8051,1988-12-20,True
Sonja,Jönsson,Järnvägsgatan 4,Landskrona,77425,Sverige,SE,19740421-0826,+46,0947-03 24 50,1974-04-21,True
Eva,Antonsen,Engenfaret 91D,Andreasfoss,7415,Norge,NO,19911115-9894,+47,14 17 34 35,1991-11-15,True
Elisabet,Johansson,Grantorget 436,Östersund,26533,Sverige,SE,19550603-7770,+46,+46 (0)517 768 43,1955-06-03,True
Marius,Mikkelsen,Arnesenringen 3,Mathisen,8549,Norge,NO,19751130-5530,+47,73401344,1975-11-30,True
Pamela,Johnston,Torres Creek 394,Robinstad,85544,Danmark,DK,19750407-4222,+45,972.240.2419x463,1975-04-07,True
John,Olsson,Bäckstigen 8,Falun,51718,Sverige,SE,19600616-6412,+46,0298-11 42 22,1960-06-16,True
Karin,Persson,Parkstigen 148,Lidingö,13210,Sverige,SE,19661207-7167,+46,08-783 265 27,1966-12-07,True
Kenneth,Östlund,Furugränd 48,Södertälje,41827,Sverige,SE,19880118-3657,+46,08-121 52 02,1988-01-18,True
Jose,Powers,George Fork 605,Gallegosport,70871,Danmark,DK,19780207-6576,+45,(486)529-9217x108,1978-02-07,True
Hannele,Ylönen,Gustav Pauligin kuja 161,Tampere,00443,Finland,FI,19540930-1329,+358,066 851 3608,1954-09-30,True
Siv,Bergström,Asptorget 178,Karlskrona,51692,Sverige,SE,19920210-8484,+46,054-39 58 84,1992-02-10,True
Åke,Nilsson,Parkgatan 659,Luleå,15629,Sverige,SE,19701104-4086,+46,0935-53 14 29,1970-11-04,True
Johnathan,Sexton,Sanchez Ford 24470,Jonesland,52434,Danmark,DK,19830623-1618,+45,+1-872-241-6160,1983-06-23,True
Magdalena,Fredriksson,Strandvägen 75,Södertälje,55862,Sverige,SE,19651023-9817,+46,08-98 14 77,1965-10-23,True
Frida,Johansson,Fabriksvägen 2,Örebro,36701,Sverige,SE,19720627-5197,+46,08-407 844 62,1972-06-27,True
Kirsten,Iversen,Dahlringen 1A,Vik,8470,Norge,NO,19420613-7178,+47,49367789,1942-06-13,True
Emma,Johansson,Kyrkovägen 57,Piteå,86961,Sverige,SE,19600318-5650,+46,+46 (0)54 18 83 88,1960-03-18,True
Tina,Mccann,Pierce Branch 76730,Richardberg,48639,Danmark,DK,19510630-7835,45,+1-382-875-6008x403,1951-06-30,True
Karin,Moen,Nilsenløkka 1,Andersen,8592,Norge,NO,19790728-0555,+47,436 72 669,1979-07-28,True
Evert,Andersson,Industrivägen 1,Umeå,41711,Sverige,SE,19640518-4145,+46,08-903 20 13,1964-05-18,True
James,Kaufman,Anthony Court 79934,Hallberg,70722,Danmark,DK,19570504-9343,+45,001-339-795-2131,1957-05-04,True
Erin,Nguyen,Spencer Street 96243,West Dan,03948,Sverige,DK,19530606-7552,+45,001-469-217-5619,1953-06-06,True
Erling,Gulbrandsen,Andersenplassen 66,Karolinevær,4237,Norge,NO,19840223-3273,+47,73 08 31 44,1984-02-23,True
Johanna,Andersson,Ekvägen 2,Kalmar,91374,Sverige,SE,19850318-5799,+46,0660-284 24,1985-03-18,True
Heidi,Määttä,Nervanderinpolku 119,Hammarland,09282,Finland,FI,19670524-482A,+358,+358831966860,1967-05-24,True
William,Ayala,Benton Fords 20660,Ortizbury,98391,Danmark,DK,19840429-3156,+45,594-370-0838x34986,1984-04-29,True
Christer,Andersson,Furugatan 74,Trelleborg,28807,Sverige,SE,19990511-1436,+46,023-64 79 64,1999-05-11,True
Eric,Hunter,Hogan Greens 58103,Port Kenneth,87206,Danmark,DK,19670424-4046,+45,3466232994,1967-04-24,True
Erik,Persson,Kyrkgatan 4,Mölndal,38726,Sverige,SE,19661221-4533,+46,08-56 75 26,1966-12-21,True
Johan,Pettersson,Kvarngränd 3,Varberg,18619,Sverige,SE,19790810-2346,+46,021-374 59 21,1979-08-10,True
Josefine,Johansson,Genvägen 32,Örnsköldsvik,38753,Sverige,SE,19440306-7260,+46,0269-435 52,1944-03-06,True
Emily,Boyer,Kelli Ways 89129,West John,19663,Danmark,DK,19571128-0959,+45,001-611-280-7035,1957-11-28,True
Lars,Dahlberg,Industrivägen 9,Ängelholm,33455,Sverige,SE,19571105-8310,+46,0246-634 23,1957-11-05,True
Sven,Hansson,Björkgränd 625,Lund,72764,Sverige,SE,19951211-4086,+46,08-533 89 47,1995-12-11,True
Andreas,Gustafsson,Industrigatan 22,Kalmar,27419,Sverige,SE,19570731-6547,+46,08-999 78 57,1957-07-31,True
Kristina,Mattsson,Kyrkvägen 4,Lund,83068,Sverige,SE,19490329-8322,+46,+46 (0)86 97 83 07,1949-03-29,True
Tom,Johansson,Ängsgränd 561,Gävle,76702,Sverige,SE,19850521-4357,+46,0241-836 88,1985-05-21,True
Michael,Hudson,Nicole Views 77627,Jasonfort,41204,Danmark,DK,19840805-5022,+45,001-727-801-3042,1984-08-05,True
Alvar,Andersson,Industritorget 16,Trollhättan,86283,Sverige,SE,19640709-6476,+46,08-698 46 02,1964-07-09,True
Kjetil,Fredriksen,Rønningtoppen 69,Sæther,9233,Norge,NO,19520721-8149,+47,46975188,1952-07-21,True
Jørgen,Moe,Bakkenkollen 54A,Sirisand,9396,Norge,NO,19440830-9300,+47,61 71 05 81,1944-08-30,True
Erin,Chandler,Darin Well 41576,North Roberta,09213,Danmark,DK,19590126-7769,+45,693-789-6461,1959-01-26,True
Camilla,Andersson,Trädgårdstorget 6,Falun,59366,Sverige,SE,19981207-0323,+46,08-545 20 41,1998-12-07,True
Maria,Larsson,Åkergatan 019,Västerås,69759,Sverige,SE,19530316-9606,+46,08-815 28 37,1953-03-16,True
Aud,Christensen,Berntsenskrenten 11,Knudsen,7937,Norge,NO,19620506-6200,+47,76330574,1962-05-06,True
Sinikka,Pesonen,Yllästunturinbulevardi 215,Hollola,36863,Finland,FI,19490822-696B,+358,+358838526428,1949-08-22,True
Torill,Pedersen,Rasmussenstranda 328,Thomassen,1824,Norge,NO,19450819-1094,+47,87 24 55 40,1945-08-19,True
Frederick,Pitts,Jose Club 10705,Castroville,11800,Danmark,DK,19400601-9127,+45,613.754.6553x675,1940-06-01,True
Erik,Andersson,Genstigen 11,Luleå,53330,Sverige,SE,19580429-9105,+46,0509-814 34,1958-04-29,True
Elisabet,Forsberg,Parkstigen 86,Helsingborg,54499,Sverige,SE,19930314-7936,+46,08-842 40 06,1993-03-14,True
Helene,Berg,Simonsengata 8,Henriksen,9260,Norge,NO,19460920-1490,+47,74608600,1946-09-20,True
Uno,Ericsson,Fabriksvägen 5,Gävle,24099,Sverige,SE,19550426-5542,+46,081-607 31 77,1955-04-26,True
Eva,Aasen,Pettersenfaret 7,Sørensen,5367,Norge,NO,19510326-7398,+47,14 82 09 75,1951-03-26,True
Ulf,Johansson,Fabrikstorget 7,Falun,84013,Sverige,SE,19640324-7082,+46,+46 (0)8 207 416 32,1964-03-24,True
Alf,Bäckström,Aspgatan 782,Lund,86052,Sverige,SE,19750802-5871,+46,0645-527 85,1975-08-02,True
Anders,Olsson,Villagränd 151,Skellefteå,80724,Sverige,SE,19561125-8130,+46,+46 (0)722 640 76,1956-11-25,True
Marianne,Petersson,Grangatan 88,Sandviken,91513,Sverige,SE,19650523-3027,+46,+46 (0)8 057 051 83,1965-05-23,True
Kjell,Brekke,Knudsenstranda 15F,Andreassen,1472,Norge,NO,19950108-2539,+47,23240834,1995-01-08,True
Carl,Håkansson,Idrottsvägen 9,Landskrona,22871,Sverige,SE,19920106-0236,+46,+46 (0)8 960 947 71,1992-01-06,True
Maria,Moen,Aasentoppen 485,Stianby,5644,Norge,NO,19920130-5571,+47,+47 65 27 41 90,1992-01-30,True
Marie,Persson,Ängsstigen 378,Skövde,14597,Sverige,SE,19490420-3113,+46,+46 (0)725 926 73,1949-04-20,True
Jon,Myhre,Isaksensvingen 441,Jensfjord,4085,Norge,NO,19630830-6004,47,16056730,1963-08-30,True
Tyler,Taylor,Stephen Bridge 2778,Ninaville,86835,Danmark,DK,19711205-6596,+45,+1-941-374-4616x2050,1971-12-05,True
Elsie,Johansson,Aspstigen 5,Uddevalla,65637,Sverige,SE,19710904-3263,+46,0854-719 68,1971-09-04,True
Olivia,Jonsson,Backstigen 132,Växjö,37877,Sverige,SE,19550219-0054,+46,068-36 65 59,1955-02-19,True
Pernilla,Carlsson,Kyrkstigen 829,Malmö,55713,Sverige,SE,19440806-7162,+46,+46 (0)8 627 154 26,1944-08-06,True
Gunilla,Eriksson,Industrigatan 3,Umeå,27724,Sverige,SE,19780112-1315,+46,+46 (0)8 925 890 38,1978-01-12,True
Samantha,Erickson,Jefferson Spur 81421,Armstrongland,83980,Danmark,DK,19591202-4614,+45,(881)803-2023x98939,1959-12-02,True
Anneli,Sallinen,Jättiläisenkatu 476,Merikarvia,13478,Finland,FI,20000423-3920,+358,084 245 2652,2000-04-23,True
Nils,Jonsson,Järnvägsgränd 735,Uppsala,74728,Sverige,SE,19911004-1050,+46,+46 (0)914 088 69,1991-10-04,True
Sara,Johansson,Strandvägen 60,Lund,74560,Sverige,SE,19730705-6092,+46,08-944 677 14,1973-07-05,True
Elisabeth,Forsberg,Skolgatan 81,Lidingö,47123,Sverige,SE,19571124-3776,+46,022-06 33 37,1957-11-24,True
Alf,Gundersen,Nilsenberget 77,Birkeland,5386,Norge,NO,19520928-9318,+47,936 62 432,1952-09-28,True
Tore,Ali,Halvorsenhagen 318,Christensen,9252,Norge,NO,19720313-5054,+47,44777719,1972-03-13,True
Ulf,Andersson,Grangatan 34,Nyköping,17434,Sverige,SE,19630121-7499,+46,08-022 00 69,1963-01-21,True
Johan,Berglund,Aspvägen 29,Sundsvall,45124,Sverige,SE,19560427-1911,+46,08-513 874 66,1956-04-27,True
Berit,Antonsen,Ellingsenplassen 38,Svendsen,7229,Norge,NO,19410317-0822,+47,37464780,1941-03-17,True
Olof,Karlsson,Nygatan 10,Västerås,32296,Sverige,SE,19890801-2211,+46,08-18 20 36,1989-08-01,True
Tammy,Jordan,Duke Hollow 84287,East Melody,25349,Danmark,DK,19941209-8932,+45,7014554409,1994-12-09,True
Birgitta,Vikström,Kyrkovägen 0,Falun,51858,Sverige,SE,19501205-4170,+46,069-49 82 61,1950-12-05,True
Gustaf,Haglund,Ringstigen 07,Landskrona,33714,Sverige,SE,19850131-4567,+46,029-03 52 86,1985-01-31,True
Risto,Kiviniemi,Nelikkopolku 024,Imatra,84826,Finland,FI,19430929-116X,+358,028 713 0735,1943-09-29,True
Peter,Franklin,Craig Passage 275,North Christopherfurt,92887,Danmark,DK,19460703-8321,+45,001-884-740-5115x7910,1946-07-03,True
Inge,Larsson,Nystigen 132,Uppsala,84529,Sverige,SE,19800201-7861,+46,0914-793 71,1980-02-01,True
Marie-Louise,Bergman,Skoltorget 58,Uppsala,63899,Sverige,SE,19440518-6018,+46,0954-041 95,1944-05-18,True
Dagny,Andersson,Villagatan 779,Trollhättan,18278,Sverige,SE,19850528-6207,+46,076-56 57 86,1985-05-28,True
Reijo,Jokinen,Porkkalankuja 55,Brändö,36383,Finland,FI,19510515-601C,+45,063 512 8780,1951-05-15,True
Pia,Pettersson,Granvägen 81,Borås,39425,Sverige,SE,19590707-7090,+46,08-936 90 34,1959-07-07,True
Maria,Blomberg,Grantorget 568,Stockholm,50978,Sverige,SE,19710610-7134,+46,08-79 63 85,1971-06-10,True
Sebastian,Knudsen,Rønningbakken 3,Haug,4879,Norge,NO,19830815-6098,+47,435 13 708,1983-08-15,True
Matthew,Ramos,Montgomery Dale 794,Port Jennatown,62077,Danmark,DK,19590601-6980,+45,001-411-645-3092x4720,1959-06-01,True
Erik,Strøm,Vikbråten 5,Nguyen,1762,Norge,NO,19840802-5498,+47,+47 31 07 10 94,1984-08-02,True
Robert,Svensson,Björkgatan 63,Motala,90691,Sverige,SE,19721110-0339,+46,076-475 84 67,1972-11-10,True
Berit,Knudsen,Haugenengen 3B,Jakobsen,8217,Norge,NO,19750122-0646,+47,82877305,1975-01-22,True
Katariina,Pekkarinen,Yrjö-Koskisen tie 60,Aura,18607,Finland,FI,19670607-736V,+358,(+358) 394756473,1967-06-07,True
Lori,Howard,Tracy Stravenue 4162,Port Trevorfort,62808,Danmark,DK,19520807-5463,+45,(496)448-9221,1952-08-07,True
Susanne,Johansson,Skogsvägen 30,Jönköping,87719,Sverige,SE,19520416-4528,+46,0179-61 29 00,1952-04-16,True
Turid,Sæther,Haugstubben 17G,Martinsen,2315,Norge,NO,19430916-2439,+47,76 18 78 55,1943-09-16,True
Edit,Andersson,Fabriksvägen 7,Borås,79145,Sverige,SE,19661123-6225,+46,08-30 34 61,1966-11-23,True
Sebastian,Bengtsson,Parkgatan 1,Nyköping,88828,Sverige,SE,19710902-0608,+46,08-013 305 77,1971-09-02,True
Magne,Mikkelsen,Danielsenstien 72,Kårefjell,6091,Norge,NO,19651020-9064,+47,92 59 59 02,1965-10-20,True
Susanne,Bengtsson,Kyrkvägen 69,Örnsköldsvik,54274,Sverige,SE,19950601-2419,+46,0571-98 28 46,1995-06-01,True
Birgitta,Samuelsson,Bäckgatan 826,Västerås,84998,Sverige,SE,19550430-1197,+46,08-799 24 12,1955-04-30,True
Ingemar,Karlsson,Genvägen 2,Borås,71602,Sverige,SE,19900211-9289,+46,002-43 70 39,1990-02-11,True
Ingrid,Jansson,Furuvägen 8,Lund,16479,Sverige,SE,19691020-1602,+46,+46 (0)8 942 569 26,1969-10-20,True
Anders,Jansson,Ringvägen 888,Västerås,30286,Sverige,SE,19830818-3336,+46,0716-28 75 36,1983-08-18,True
Jennifer,Alexander,Kevin Pines 57349,Port Rachelshire,33750,Danmark,DK,19560503-7786,+45,(369)428-0556x8087,1956-05-03,True
William,Gutierrez,Martinez Heights 46222,Meyermouth,33145,Danmark,DK,19790607-2488,+45,957-924-2256,1979-06-07,True
Nancy,Carter,Gonzalez Square 926,Matthewsshire,39148,Danmark,DK,19681205-2688,+45,+1-657-615-9918,1968-12-05,True
Ulf,Eriksson,Skolgatan 6,Jönköping,30215,Sverige,SE,19621231-7973,+46,0774-75 60 15,1962-12-31,True
Catharina,Johansson,Järnvägsgatan 5,Stockholm,46077,Sverige,SE,19870608-3855,+46,08-401 39 36,1987-06-08,True
Joshua,Allen,Anderson Rapids 65695,Hancockstad,97146,Danmark,DK,19500615-0111,+45,(695)441-3790x450,1950-06-15,True
David,Drake,Taylor Branch 2688,Sandersport,53963,Danmark,DK,19480819-5539,+45,307-333-6620x2794,1948-08-19,True
Ensio,Holmberg,Maanmittarinpolku 96,Ikaalinen,85822,Finland,FI,19621019-231X,+47,(+358) 917402819,1962-10-19,True
Ingrid,Lundberg,Åkertorget 917,Lund,98035,Sverige,SE,19660922-9064,+46,08-116 26 52,1966-09-22,True
Seth,Watson,Thompson Loaf 0682,Brandonmouth,93904,Danmark,DK,19770316-2280,+45,247.257.7853,1977-03-16,True
Gustav,Larsson,Kyrkogatan 57,Södertälje,71951,Sverige,SE,19680201-3009,+46,071-46 82 18,1968-02-01,True
Daniel,Johansen,Halvorsenhavna 64,Christianfoss,3823,Norge,NO,19970917-9255,+47,48020764,1997-09-17,True
Bertil,Strömberg,Gengatan 56,Växjö,21218,Sverige,SE,19780323-4253,+46,017-442 44 51,1978-03-23,True
Kerttu,Järvelä,Werner Wirénin polku 46,Vaasa,58791,Finland,FI,19780724-140M,+358,0317859807,1978-07-24,True
Vilde,Gundersen,Ahmedsvingen 55A,Sverremark,0468,Norge,NO,19490930-1043,+47,+4700895211,1949-09-30,True
Erik,Karlsson,Kyrkvägen 404,Gävle,31963,Sverige,SE,19880808-4379,+46,+46 (0)192 398 24,1988-08-08,True
Bengt,Karlsson,Nyvägen 311,Örebro,20009,Sverige,SE,19960130-9320,+46,+46 (0)05 05 56 68,1996-01-30,True
Terje,Myklebust,Moestykket 6,Karensand,5635,Norge,NO,19980224-2723,+45,49 55 71 98,1998-02-24,True
Åke,Karlsson,Genvägen 9,Falun,21038,Sverige,SE,19810712-9715,+46,+46 (0)27 52 48 38,1981-07-12,True
Håkon,Amundsen,Olsenkroken 2,Bakken,7210,Norge,NO,19470329-2771,+45,483 33 273,1947-03-29,True
Christer,Karlsson,Kyrkogatan 08,Helsingborg,74089,Sverige,SE,19671206-2222,+46,+46 (0)46 90 70 53,1967-12-06,True
Stig,Berglund,Grantorget 790,Växjö,54893,Sverige,SE,19980204-8810,+46,006-787 28 73,1998-02-04,True
Alyssa,Horton,James Union 0529,Lake Katherinebury,32884,Danmark,DK,19980521-2545,+45,(860)816-9148,1998-05-21,True
Reidun,Engen,Haugeengen 3,Tveit,8871,Norge,NO,19620816-8510,+47,50 24 73 35,1962-08-16,True
Bjørg,Ruud,Solheimmyra 9,Sivertsen,9533,Norge,NO,19971202-2268,+47,488 27 486,1997-12-02,True
Dan,Holmberg,Kyrkogatan 7,Karlstad,51505,Sverige,SE,19630517-6707,+46,08-067 167 37,1963-05-17,True
Anne,Kemppainen,Sahaajanbulevardi 9,Ii,26463,Finland,FI,19640416-6476,+358,+358975096068,1964-04-16,True
Clayton,Davis,Corey Mountains 37176,West Adam,51768,Danmark,DK,19710602-1958,+45,314-582-9024x25611,1971-06-02,True
Johan,Olsson,Nystigen 03,Alingsås,86096,Sverige,SE,19990429-6242,+46,+46 (0)80 44 46 77,1999-04-29,True
Kristina,Persson,Skolvägen 92,Gävle,34029,Sverige,SE,19681213-7361,+46,08-22 85 79,1968-12-13,True
Ann-Charlotte,Johansson,Skogsvägen 69,Gävle,71990,Sverige,SE,19741120-3284,+46,+46 (0)8 334 558 70,1974-11-20,True
Donna,Johnson,John Track 0528,East Jenniferfort,95538,Danmark,DK,19741206-0481,+45,860-280-3070x296,1974-12-06,True
Ture,Johansson,Industrigatan 58,Trollhättan,58458,Sverige,SE,19830922-3668,+46,08-826 77 24,1983-09-22,True
Åke,Jonsson,Skogsvägen 2,Helsingborg,96699,Sverige,SE,19750526-2230,+46,08-840 83 59,1975-05-26,True
Maria,Lindström,Björkstigen 0,Umeå,40370,Sverige,SE,19840108-5541,+46,091-57 76 23,1984-01-08,True
Erik,Gustafsson,Nyvägen 6,Linköping,85953,Sverige,SE,19650329-8649,+46,076-96 35 50,1965-03-29,True
Connie,White,Flores Plains 89458,South Anthony,32672,Danmark,DK,19490513-5332,+45,+1-411-267-5561x62065,1949-05-13,True
Arthur,Brown,Gay Summit 28627,Cindyshire,15099,Danmark,DK,19490113-1047,+45,479-765-6592,1949-01-13,True
Gösta,Eriksson,Stationsvägen 14,Ängelholm,45492,Sverige,SE,19690906-6556,+46,0993-45 69 52,1969-09-06,True
Andreas,Ellingsen,Eriksenfaret 3E,Kirstenhelle,9716,Norge,NO,19750602-0606,+47,+47 04 28 91 60,1975-06-02,True
Irmeli,Sainio,Neulapadonkatu 193,Kittilä,05679,Finland,FI,19450206-5862,+358,+358 543738364,1945-02-06,True
Jaakko,Hänninen,Yllästunturinkatu 96,Vesilahti,54958,Finland,FI,19570325-041N,+358,+358 912332519,1957-03-25,True
Kirsten,Berge,Mathisenåsen 632,Sindresjøen,9033,Norge,NO,19920216-5166,+47,972 61 105,1992-02-16,True
Reidun,Tangen,Fredriksenskrenten 9B,Berg,3525,Norge,NO,19521005-5780,+47,+4780190877,1952-10-05,True
Karen,Simonsen,Aasskrenten 8,Lien,5557,Norge,NO,19861029-8237,+47,458 04 453,1986-10-29,True
Lina,Eriksson,Björkvägen 445,Kalmar,99825,Sverige,SE,19411017-2686,+46,0442-55 20 39,1941-10-17,True
Christina,Isaksson,Skolvägen 05,Lidingö,97538,Sverige,SE,19600907-4032,+46,+46 (0)27 07 80 84,1960-09-07,True
Jonas,Jenssen,Martinsenåsen 3,Pettersen,2785,Norge,NO,19610711-7466,+47,+47 26 81 66 59,1961-07-11,True
Hector,Bryan,Phillips Knolls 2763,Franklinton,43053,Danmark,DK,19770727-2182,+45,341.529.4339x4749,1977-07-27,True
Sissel,Haug,Nguyenspranget 912,Anitanes,9119,Norge,NO,19560715-5303,+47,+4722450994,1956-07-15,True
Veronica,Rivas,Kelly Knolls 0361,North Adamhaven,71793,Danmark,DK,19600613-9876,+45,276.359.4043x35300,1960-06-13,True
Paul,Paulsson,Parkstigen 870,Gävle,38420,Sverige,SE,19870402-9168,+46,+46 (0)16 48 93 39,1987-04-02,True
Alexander,Long,Courtney Street 85066,Nguyenborough,58615,Donmark,DK,19910805-4897,+45,759.363.6074x1685,1991-08-05,True
Linda,Olsson,Parkvägen 89,Varberg,85802,Sverige,SE,19470619-1223,+46,08-895 62 94,1947-06-19,True
Lennart,Ljungberg,Idrottsvägen 51,Landskrona,28926,Sverige,SE,19550823-8712,+46,+46 (0)8 202 206 78,1955-08-23,True
Karen,Edwards,Christine Forks 22051,Lake Laura,02543,Danmark,DK,19630207-1282,+45,305-400-5509,1963-02-07,True
Tor,Hansen,Sandvikholtet 9,Cathrineborg,5139,Norge,NO,19831221-8639,+47,+47 57 18 82 23,1983-12-21,True
Emma,Kiviniemi,Eerik Pyhän katu 287,Loviisa,72812,Finland,FI,20000714-6486,+358,027 232 0832,2000-07-14,True
Martin,Gulbrandsen,Kristiansenlyngen 2,Berg,0564,Norge,NO,19980215-4656,+47,951 51 143,1998-02-15,True
Daniel,Kennedy,Smith Walks 975,Port Shannonside,78972,Danmark,DK,19450328-1232,+45,674.275.8502x56503,1945-03-28,True
Miranda,Rodriguez,Crystal Passage 996,West Ruthmouth,55008,Danmark,DK,19420520-6993,+45,+1-911-842-2811x53254,1942-05-20,True
Andreas,Bergman,Skolgatan 033,Lidingö,27712,Sverige,SE,19800225-4827,+46,0552-05 12 84,1980-02-25,True
Ester,Andersson,Granvägen 4,Landskrona,26417,Sverige,SE,19770207-0795,+46,0363-30 21 56,1977-02-07,True
Grethe,Rasmussen,Eriksenskrenten 9,Maydal,7421,Norge,NO,19910408-2141,+47,+4782707443,1991-04-08,True
Hugo,Karlsson,Gentorget 52,Lidingö,29953,Sverige,SE,19590117-9052,+46,+46 (0)25 05 83 56,1959-01-17,True
Monica,Gonzalez,Micheal Place 871,East Michaelchester,79967,Danmark,DK,19890723-6933,+45,+1-235-338-7094x02711,1989-07-23,True
Bente,Berg,Solbergstranda 1,Johannessen,5755,Norge,NO,19521109-2059,+47,25456223,1952-11-09,True
Ole,Bakken,Jakobsenbakken 6A,Janås,4002,Norge,NO,19990712-9682,+47,921 37 160,1999-07-12,True
Carin,Malm,Kyrkotorget 991,Örnsköldsvik,70071,Sverige,SE,19470426-1495,+46,+46 (0)8 403 703 44,1947-04-26,True
Therese,Johansson,Storvägen 3,Mölndal,17615,Sverige,SE,19971019-0688,+46,+46 (0)05 25 05 33,1997-10-19,True
Ingegerd,Eliasson,Skolvägen 74,Karlstad,69740,Sverige,SE,19960823-3213,+46,0671-573 68,1996-08-23,True
Ellen,Moe,Lieskrenten 3,Arnesen,4720,Norge,NO,19640630-7662,+47,90 77 87 24,1964-06-30,True
Kenneth,Jonsson,Kyrkgränd 78,Ängelholm,31244,Sverige,SE,19780915-5816,+46,086-88 67 33,1978-09-15,True
Marianne,Sæther,Aaseneggen 2,Haugen,4077,Norge,NO,19401121-8521,+47,84 84 71 48,1940-11-21,True
Per,Sjögren,Stationstorget 37,Eskilstuna,75536,Sverige,SE,19820321-1160,+46,093-340 24 33,1982-03-21,True
Tapani,Ikonen,Ahomäenkuja 7,Espoo,73658,Finlane,FI,19560917-186X,+358,+358693752874,1956-09-17,True
Alice,Myers,April Inlet 663,Vanessachester,23930,Danmark,DK,19930616-5525,+45,718.696.4537x93279,1993-06-16,True
Gunnel,Mattsson,Kyrkgatan 187,Östersund,65795,Sverige,SE,19900412-3934,+46,+46 (0)08 09 59 47,1990-04-12,True
Mikko,Jaatinen,Chydeniuksenpolku 1,Kökar,17374,Finland,FI,19970508-728B,+358,+358 70 2719807,1997-05-08,True
Margaretha,Mattsson,Bäckgatan 127,Sundsvall,44819,Sverige,SE,19630426-0928,+46,008-489 84 15,1963-04-26,True
Susanne,Pettersson,Furugatan 8,Lidingö,17461,Sverige,SE,19990507-2080,+46,034-24 95 20,1999-05-07,True
Jenny,Höglund,Skolvägen 944,Göteborg,98621,Sverige,SE,19840928-1697,+46,08-05 64 88,1984-09-28,True
Linnéa,Nilsson,Ekgränd 97,Landskrona,97781,Sverige,SE,19911101-5101,+46,0339-396 35,1991-11-01,True
Gun,Nilsson,Genstigen 631,Trelleborg,25486,Sverige,SE,19590610-9560,+46,0152-39 44 33,1959-06-10,True
Erik,Carlsson,Gentorget 873,Östersund,34618,Sverige,SE,19670103-6700,+46,+46 (0)38 90 01 71,1967-01-03,True
Svein,Gundersen,Gundersenkroken 94B,Hansmark,6855,Norge,NO,19910523-8614,+47,+4739427013,1991-05-23,True
Pirkko,Nieminen,Rapolantie 65,Kaskinen,36136,Finland,FI,19670815-1143,358,076 464 8091,1967-08-15,True
Mikael,Persson,Idrottsvägen 92,Malmö,71103,Sverige,SE,19780725-5797,+46,08-429 512 48,1978-07-25,True
Kristin,Riley,Gail Wells 56723,Lake Paulmouth,18688,Danmark,DK,19950212-4561,+45,673-978-0535,1995-02-12,True
Elisabet,Jansson,Furugatan 435,Trelleborg,84503,Sverige,SE,19620627-6847,+46,026-439 38 17,1962-06-27,True
